2025-02-01 03:04:10|aki|54
2025-02-01 03:05:39|player1|50
2025-02-01 03:07:03|player4|50
2025-02-02 17:34:38|rudra|50
2025-02-02 17:38:35|aski|50
2025-02-02 17:40:02|player1|51
2025-02-02 17:45:33|player1|51
2025-02-02 17:48:41|harion|50
2025-02-02 17:50:54|aski|50
2025-02-02 17:57:45|kaiol|50
2025-02-02 18:57:09|player1|55
2025-02-02 18:59:53|player1|55
2025-02-02 19:01:34|player1|50
2025-02-02 19:05:39|player1|50
2025-02-02 19:07:51|vishal|53
2025-02-02 23:22:21|player1|54
2025-02-02 23:27:58|nabh|52
2025-02-02 23:46:07|vikalp|51
